tipo,cidade,bairro,area_m2,quartos,banheiros,suites,andar,vagas,preco,preco_m2,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,estado,tipo_imovel_padronizado,tem_geolocalizacao,tem_endereco_estruturado,andar_informado
apartamento,Fortaleza,Cambeba,54.0,2.0,2.0,1.0,1.0,1.0,310000.0,5740.740740740741,True,False,True,True,True,False,False,True,True,False,True,CE,apartamento_padrao,True,True,True
casa,Fortaleza,Mondubim,100.0,3.0,3.0,2.0,0.0,2.0,469000.0,4690.0,False,False,False,False,True,False,True,False,False,False,False,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Aracapé,51.0,2.0,2.0,1.0,1.0,1.0,235000.0,4607.843137254902,True,False,True,True,False,True,True,False,True,False,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Aldeota,135.0,3.0,4.0,3.0,0.0,3.0,1700000.0,12592.592592592593,False,False,False,True,False,False,False,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Mondubim,63.0,3.0,2.0,1.0,2.0,2.0,250000.0,3968.253968253968,False,False,False,True,False,False,True,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Jardim Cearense,54.0,2.0,2.0,1.0,7.0,2.0,340000.0,6296.2962962962965,True,False,True,True,True,False,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Siqueira,44.0,2.0,1.0,1.0,1.0,1.0,43000.0,977.2727272727273,False,False,False,True,True,False,False,False,True,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Manuel Dias Branco,116.0,3.0,4.0,3.0,0.0,2.0,1160000.0,10000.0,True,False,False,True,False,True,True,True,False,False,True,CE,apartamento_padrao,True,True,True
casa,Fortaleza,José de Alencar,179.0,4.0,5.0,3.0,0.0,6.0,475000.0,2653.631284916201,False,False,False,False,False,False,False,False,False,False,False,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Parque Dois Irmãos,45.0,2.0,2.0,1.0,2.0,1.0,287000.0,6377.777777777777,False,False,False,True,True,False,False,False,True,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Meireles,65.0,2.0,2.0,1.0,13.0,1.0,1299000.0,19984.615384615383,False,True,False,True,False,True,True,True,False,False,False,CE,apartamento_padrao,True,True,True
casa,Fortaleza,Jangurussu,100.0,3.0,3.0,3.0,0.0,3.0,455000.0,4550.0,False,False,False,True,False,True,True,True,False,False,False,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Cambeba,65.0,3.0,2.0,1.0,0.0,2.0,370000.0,5692.307692307692,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Parangaba,62.0,2.0,1.0,1.0,13.0,2.0,420000.0,6774.193548387097,False,False,False,True,False,False,False,False,False,False,False,CE,apartamento_padrao,True,True,True
