tipo,cidade,bairro,area_m2,quartos,banheiros,suites,andar,vagas,preco,latitude,longitude,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,estado,tipo_imovel_padronizado
apartamento,Fortaleza,Cambeba,54.0,2.0,2.0,1.0,1.0,1.0,310000.0,-3.807103,-38.483842,True,False,True,True,True,False,False,True,True,False,True,CE,apartamento_padrao
casa,Fortaleza,Mondubim,100.0,3.0,3.0,2.0,0.0,2.0,469000.0,-3.809867,-38.560736,False,False,False,False,True,False,True,False,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Aracapé,51.0,2.0,2.0,1.0,1.0,1.0,235000.0,-3.825976,-38.589547,True,False,True,True,False,True,True,False,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Aldeota,135.0,3.0,4.0,3.0,0.0,3.0,1700000.0,-3.741447,-38.502823,False,False,False,True,False,False,False,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Mondubim,63.0,3.0,2.0,1.0,2.0,2.0,250000.0,-3.820883,-38.558891,False,False,False,True,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Jardim Cearense,54.0,2.0,2.0,1.0,7.0,2.0,340000.0,-3.800733,-38.567643,True,False,True,True,True,False,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Siqueira,44.0,2.0,1.0,1.0,1.0,1.0,43000.0,-3.802495,-38.627744,False,False,False,True,True,False,False,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Manuel Dias Branco,116.0,3.0,4.0,3.0,0.0,2.0,1160000.0,-3.751356,-38.460031,True,False,False,True,False,True,True,True,False,False,True,CE,apartamento_padrao
casa,Fortaleza,José de Alencar,179.0,4.0,5.0,3.0,0.0,6.0,475000.0,-3.802,-38.473,False,False,False,False,False,False,False,False,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Parque Dois Irmãos,45.0,2.0,2.0,1.0,2.0,1.0,287000.0,-3.809,-38.549582,False,False,False,True,True,False,False,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Meireles,65.0,2.0,2.0,1.0,13.0,1.0,1299000.0,-3.728256,-38.507597,False,True,False,True,False,True,True,True,False,False,False,CE,apartamento_padrao
casa,Fortaleza,Jangurussu,100.0,3.0,3.0,3.0,0.0,3.0,455000.0,-3.834677,-38.510961,False,False,False,True,False,True,True,True,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Cambeba,65.0,3.0,2.0,1.0,0.0,2.0,370000.0,-3.804755,-38.481186,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Parangaba,62.0,2.0,1.0,1.0,13.0,2.0,420000.0,-3.78,-38.572,False,False,False,True,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Siqueira,44.0,2.0,1.0,1.0,1.0,1.0,70000.0,-3.810583,-38.616973,True,False,False,True,True,False,False,False,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Prefeito José Walter,44.0,2.0,2.0,1.0,0.0,1.0,260000.0,-3.832492,-38.552985,False,False,False,True,True,True,True,False,True,True,False,CE,apartamento_padrao
casa,Fortaleza,Manoel Sátiro,103.0,3.0,3.0,1.0,0.0,1.0,350000.0,-3.799532,-38.583512,False,False,False,False,False,False,False,False,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Meireles,21.0,1.0,1.0,1.0,0.0,1.0,556131.0,-3.723617,-38.510262,False,True,False,True,True,False,False,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Cocó,70.0,3.0,2.0,1.0,0.0,1.0,465000.0,-3.74631,-38.479013,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Damas,70.0,3.0,2.0,1.0,0.0,1.0,440000.0,-3.753244,-38.551202,True,False,True,True,True,False,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Padre Andrade,77.0,2.0,2.0,1.0,0.0,1.0,250000.0,-3.735814,-38.582005,False,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Ancuri,54.0,2.0,2.0,2.0,0.0,1.0,195000.0,-3.867289,-38.498915,False,False,True,False,False,False,False,True,False,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Manuel Dias Branco,145.0,3.0,4.0,3.0,0.0,3.0,1499000.0,-3.751356,-38.460031,False,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Aldeota,160.0,3.0,4.0,3.0,9.0,2.0,710000.0,-3.738851,-38.502696,False,False,False,False,False,False,False,True,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Parque Iracema,105.0,3.0,3.0,3.0,12.0,2.0,920000.0,-3.809183,-38.493246,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Vicente Pinzon,51.0,2.0,2.0,1.0,10.0,1.0,385000.0,-3.731,-38.466,True,True,True,True,False,False,True,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Ancuri,55.0,2.0,2.0,1.0,0.0,1.0,185000.0,-3.860813,-38.503276,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Ancuri,55.0,2.0,2.0,1.0,0.0,1.0,185000.0,-3.860813,-38.503276,False,False,True,False,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Vicente Pinzon,140.0,3.0,3.0,2.0,0.0,2.0,350000.0,-3.732092,-38.478795,True,True,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Parque Iracema,72.0,2.0,2.0,1.0,9.0,1.0,644000.0,-3.805577,-38.49746,True,False,True,True,False,False,True,True,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Parque Iracema,112.0,3.0,4.0,3.0,0.0,2.0,895000.0,-3.806329,-38.493362,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Parangaba,44.0,2.0,1.0,1.0,4.0,1.0,55000.0,-3.773458,-38.570776,True,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Meireles,60.0,2.0,2.0,1.0,0.0,2.0,530000.0,-3.725616,-38.508248,False,False,True,False,False,False,False,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Papicu,120.0,3.0,4.0,3.0,0.0,2.0,650000.0,-3.736816,-38.471213,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Aldeota,37.0,1.0,2.0,1.0,0.0,1.0,549000.0,-3.735524,-38.504891,True,False,False,False,False,True,True,True,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Centro,61.0,3.0,2.0,1.0,0.0,1.0,575000.0,-3.731,-38.521,False,True,False,True,False,False,True,True,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Jangurussu,50.0,2.0,2.0,2.0,1.0,1.0,79000.0,-3.848262,-38.503737,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao
casa,Fortaleza,Sapiranga-Coité,360.0,4.0,5.0,4.0,0.0,2.0,750000.0,-3.79,-38.458,False,False,False,False,False,False,False,False,False,False,True,CE,casa_padrao
apartamento,Fortaleza,Centro,84.0,3.0,3.0,3.0,0.0,2.0,699000.0,-3.7333,-38.517241,True,False,True,True,True,False,True,True,True,False,True,CE,apartamento_padrao
casa,Fortaleza,Parque Manibura,207.0,4.0,3.0,1.0,0.0,3.0,630000.0,-3.788828,-38.490006,False,False,False,False,False,False,True,False,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Aldeota,54.0,2.0,2.0,1.0,0.0,1.0,907119.0,-3.738038,-38.497598,False,False,False,True,False,False,False,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,71.0,3.0,2.0,2.0,0.0,2.0,690000.0,-3.772574,-38.484793,True,False,True,True,True,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Manuel Dias Branco,116.0,3.0,3.0,3.0,0.0,2.0,1179000.0,-3.751359,-38.460748,True,False,True,True,False,True,True,True,True,True,False,CE,apartamento_padrao
apartamento,Fortaleza,Aldeota,152.0,3.0,3.0,3.0,6.0,2.0,1100000.0,-3.736,-38.491,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Parque Iracema,73.0,3.0,2.0,2.0,0.0,2.0,640000.0,-3.805577,-38.49746,False,False,False,True,True,False,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Mucuripe,38.0,1.0,1.0,1.0,0.0,1.0,653858.0,-3.725181,-38.48571,False,True,False,True,False,False,False,True,True,True,False,CE,apartamento_padrao
apartamento,Fortaleza,Messejana,65.0,3.0,2.0,1.0,18.0,2.0,479000.0,-3.836591,-38.496524,True,False,True,True,True,True,True,True,False,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Mondubim,64.0,3.0,2.0,1.0,0.0,1.0,450000.0,-3.809,-38.572,True,False,True,True,True,False,True,True,True,True,False,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,76.0,3.0,3.0,2.0,0.0,2.0,740000.0,-3.775436,-38.490269,False,False,True,True,False,False,True,False,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Itaperi,126.0,3.0,2.0,2.0,0.0,2.0,640000.0,-3.78129,-38.559814,False,False,False,True,False,True,True,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Parque Iracema,51.0,2.0,1.0,1.0,0.0,1.0,346458.0,-3.806958,-38.489846,False,False,False,False,False,False,False,True,False,False,False,CE,apartamento_padrao
casa,Fortaleza,Cambeba,162.0,4.0,3.0,2.0,0.0,4.0,690000.0,-3.802322,-38.482665,False,False,False,False,False,True,True,False,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,142.0,3.0,4.0,3.0,0.0,3.0,1650000.0,-3.776727,-38.483077,False,False,False,False,False,True,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Fátima,148.0,3.0,2.0,1.0,3.0,2.0,308000.0,-3.748642,-38.52969,True,False,True,False,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Aldeota,139.0,3.0,3.0,3.0,0.0,2.0,1999000.0,-3.73823,-38.496589,False,False,False,True,False,False,False,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Meireles,101.0,3.0,3.0,3.0,0.0,2.0,1769463.0,-3.726637,-38.510799,False,False,False,True,False,True,True,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Praia do Futuro I,50.0,2.0,2.0,2.0,16.0,1.0,368000.0,-3.735901,-38.456667,True,True,True,True,False,False,False,True,True,True,True,CE,apartamento_padrao
casa,Fortaleza,Joaquim Távora,350.0,5.0,4.0,2.0,0.0,4.0,1300000.0,-3.741658,-38.515364,False,False,False,False,False,False,False,False,False,False,False,CE,casa_padrao
casa,Fortaleza,Jardim das Oliveiras,152.0,4.0,4.0,4.0,0.0,1.0,649000.0,-3.784212,-38.500967,False,False,False,False,False,False,True,False,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Praia do Futuro II,60.0,2.0,1.0,1.0,3.0,1.0,375000.0,-3.750568,-38.44867,False,False,False,True,False,True,True,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Passaré,48.0,2.0,2.0,1.0,0.0,1.0,380900.0,-3.808045,-38.527144,False,False,True,True,False,False,False,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,71.0,3.0,2.0,2.0,22.0,2.0,698250.0,-3.772714,-38.484607,True,True,True,True,True,False,True,True,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Praia do Futuro II,48.0,2.0,2.0,1.0,0.0,1.0,410000.0,-3.755,-38.447,False,False,False,True,False,False,True,False,False,False,True,CE,apartamento_padrao
apartamento,Fortaleza,De Lourdes,75.0,3.0,2.0,1.0,0.0,2.0,700000.0,-3.733576,-38.46908,False,False,False,True,True,False,True,False,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Mondubim,50.0,2.0,2.0,1.0,0.0,1.0,330000.0,-3.808824,-38.574992,True,False,True,True,True,False,True,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Aldeota,158.0,3.0,3.0,2.0,0.0,2.0,1220000.0,-3.733,-38.502,False,False,True,False,False,False,True,False,True,False,False,CE,apartamento_padrao
casa,Fortaleza,Lagoa Redonda,330.0,4.0,4.0,4.0,0.0,3.0,2995000.0,-3.807803,-38.461266,False,True,False,True,True,False,True,False,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Messejana,49.0,2.0,2.0,1.0,0.0,2.0,471109.0,-3.82197,-38.495111,False,False,False,True,True,True,True,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,73.0,2.0,2.0,1.0,0.0,2.0,710000.0,-3.781419,-38.483155,False,False,False,True,True,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Jacarecanga,65.0,3.0,2.0,1.0,10.0,2.0,420000.0,-3.716486,-38.545845,False,True,True,True,False,False,False,True,True,True,False,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,143.0,3.0,4.0,3.0,0.0,3.0,1370000.0,-3.779174,-38.483218,False,False,False,True,False,False,True,True,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Papicu,78.0,3.0,3.0,2.0,0.0,2.0,839712.0,-3.742288,-38.476264,False,False,False,True,False,False,True,True,False,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Papicu,112.0,3.0,3.0,2.0,9.0,2.0,440000.0,-3.74,-38.48,True,False,False,True,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Aldeota,40.0,1.0,1.0,1.0,0.0,1.0,541609.0,-3.730315,-38.51086,False,False,False,True,False,False,False,True,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Cambeba,51.0,2.0,1.0,1.0,1.0,1.0,333721.0,-3.806958,-38.489846,False,False,False,True,False,False,True,True,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Meireles,140.0,3.0,4.0,3.0,4.0,2.0,1200000.0,-3.732883,-38.500314,False,False,False,True,True,False,True,False,True,False,False,CE,apartamento_padrao
casa,Fortaleza,Jardim Cearense,131.0,4.0,4.0,3.0,1.0,2.0,850000.0,-3.800921,-38.561185,False,False,False,False,False,False,False,False,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Aldeota,93.0,3.0,4.0,3.0,0.0,2.0,924656.0,-3.734496,-38.514686,False,False,False,True,False,False,False,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Parquelândia,75.0,3.0,3.0,1.0,1.0,2.0,755000.0,-3.738947,-38.561634,False,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,121.0,3.0,4.0,3.0,0.0,2.0,1339000.0,-3.775734,-38.48401,False,False,False,True,True,False,False,True,False,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,56.0,2.0,2.0,1.0,0.0,1.0,455000.0,-3.785947,-38.49189,False,False,False,True,False,True,True,False,False,True,False,CE,apartamento_padrao
apartamento,Fortaleza,Edson Queiroz,70.0,2.0,2.0,1.0,3.0,1.0,724139.0,-3.775367,-38.477976,False,False,False,True,True,False,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Cocó,132.0,3.0,3.0,1.0,0.0,1.0,420000.0,-3.743,-38.478,False,False,True,False,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Papicu,117.0,3.0,3.0,2.0,6.0,1.0,590000.0,-3.742009,-38.478545,False,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,314.0,5.0,4.0,4.0,0.0,4.0,2650000.0,-3.761363,-38.486531,True,False,False,True,False,True,True,True,True,True,False,CE,apartamento_padrao
apartamento,Fortaleza,Dionísio Torres,95.0,3.0,2.0,1.0,0.0,2.0,900000.0,-3.740585,-38.504965,True,False,False,True,True,False,True,True,True,True,True,CE,apartamento_padrao
