tipo_imovel,metragem,quartos,banheiros,suites,preco_anuncio,latitude,longitude,portaria_24h_normalizado,vista_mar_normalizado,condominio_fechado_normalizado,piscina_normalizado,deck_normalizado,varanda_normalizado,varanda_gourmet_normalizado,academia_normalizado,salao_festas_normalizado,salao_jogos_normalizado,quadra_normalizado,playground_normalizado,brinquedoteca_normalizado,coworking_normalizado,pet_place_normalizado,elevador_normalizado,nascente_normalizado,andar_alto_normalizado,mobiliado_normalizado,reformado_normalizado,frente_mar_normalizado,vista_livre_normalizado,tipo_anuncio_normalizado,anuncio_criado,nota_media
Apartamento,37.0,1.0,2.0,1.0,549.000,-3.735524,-38.504891,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,80.0,3.0,2.0,2.0,429.000,-3.721913,-38.544388,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,normal,2026-06-10,0.0
Casa,345.0,4.0,4.0,3.0,649.000,-3.738268,-38.527359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2025-12-13,0.0
Casa,180.0,2.0,2.0,1.0,70.000,-3.799722,-38.627113,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-10,0.0
Casa,130.0,3.0,4.0,3.0,550.000,-3.835697,-38.5483,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-09,0.0
Apartamento,51.0,2.0,1.0,1.0,346.458,-3.806958,-38.489846,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Casa,100.0,2.0,2.0,,70.000,-3.798492,-38.62713,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-11,0.0
Apartamento,40.0,3.0,2.0,0.0,100.000,-3.792967,-38.570391,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-11,0.0
Apartamento,0.0,2.0,2.0,1.0,420.000,-3.756669,-38.446379,True,False,True,True,True,True,False,False,True,False,True,True,True,False,False,True,False,False,True,False,True,False,normal,2025-04-22,0.0
Apartamento,113.0,3.0,3.0,1.0,330.000,-3.756,-38.526,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,38.0,2.0,1.0,0.0,100.741,-3.841235,-38.512526,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,leilão,2026-05-29,0.0
Apartamento,51.0,2.0,1.0,1.0,294.999,-3.808287,-38.576491,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,203.0,4.0,4.0,3.0,1.100.000,-3.741518,-38.501301,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,normal,2026-06-11,0.0
Apartamento,128.0,4.0,5.0,4.0,1.399.900,-3.734219,-38.51243,True,False,True,True,True,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,normal,2026-06-09,0.0
Casa de condomínio,70.0,2.0,1.0,1.0,250.000,-3.80931,-38.458532,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Casa,192.0,3.0,4.0,3.0,400.000,-3.782,-38.567,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,141.0,3.0,4.0,2.0,583.000,-3.729881,-38.493843,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,60.0,2.0,2.0,1.0,530.000,-3.725616,-38.508248,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-02,0.0
Apartamento,163.0,4.0,4.0,4.0,3.077.000,-3.730631,-38.50704,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,50.0,2.0,2.0,1.0,299.990,-3.812409,-38.553204,False,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,normal,2026-06-08,0.0
Casa,392.0,8.0,6.0,3.0,2.500.000,-3.732,-38.494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2019-09-25,0.0
Apartamento,63.0,3.0,2.0,1.0,435.000,-3.800061,-38.471426,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,normal,2026-06-11,0.0
Sobrado,123.0,3.0,4.0,3.0,630.000,-3.770854,-38.474641,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,40.0,2.0,2.0,0.0,220.000,-3.851425,-38.489793,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Casa,230.0,3.0,3.0,2.0,350.000,-3.715269,-38.59622,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,50.0,3.0,2.0,1.0,389.522,-3.72543,-38.557967,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,62.0,3.0,3.0,2.0,450.000,-3.754177,-38.526055,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,38.0,1.0,1.0,1.0,653.858,-3.725181,-38.48571,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,73.0,3.0,2.0,2.0,575.000,-3.805577,-38.49746,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,normal,2026-06-10,0.0
Casa,123.0,3.0,4.0,3.0,619.900,-3.77,-38.474,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,80.0,2.0,1.0,0.0,60.000,-3.811446,-38.558378,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-09,0.0
Apartamento,114.0,3.0,3.0,3.0,1.170.000,-3.732957,-38.496387,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,normal,2026-06-10,0.0
Lote/Terreno,270.0,,,,199.000,-3.802769,-38.516782,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,normal,2026-05-07,0.0
Apartamento,42.0,2.0,1.0,,230.000,-3.811108,-38.550336,True,False,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,41.0,2.0,1.0,0.0,500.000,-3.816737,-38.470468,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,120.0,3.0,4.0,2.0,310.000,-3.751702,-38.524107,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,55.0,2.0,2.0,1.0,130.000,-3.848335,-38.503121,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,104.0,3.0,4.0,3.0,950.000,-3.766319,-38.495293,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,normal,2026-06-11,0.0
Casa,80.0,2.0,2.0,1.0,65.000,-3.80173,-38.627443,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-10,0.0
Apartamento,54.0,2.0,2.0,1.0,907.119,-3.738038,-38.497598,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Casa,225.0,4.0,6.0,4.0,399.000,-3.794026,-38.473102,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,44.0,2.0,1.0,0.0,107.852,-3.815999,-38.58094,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,leilão,2026-06-10,0.0
Apartamento,77.52,1.0,3.0,2.0,740.000,-3.775436,-38.490269,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,normal,2026-03-31,0.0
Apartamento,70.0,3.0,2.0,1.0,450.000,-3.74631,-38.479013,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,98.0,3.0,3.0,2.0,839.000,-3.736062,-38.504543,False,False,False,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,normal,2026-06-09,0.0
Casa,140.0,3.0,3.0,2.0,300.000,-3.8,-38.546,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,40.0,1.0,1.0,1.0,655.341,-3.736376,-38.491769,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Casa,40.0,3.0,2.0,0.0,95.000,-3.832492,-38.552985,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-09,0.0
Apartamento,50.0,2.0,1.0,,215.000,-3.870096,-38.521343,True,False,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,105.0,3.0,3.0,3.0,1.999.000,-3.73823,-38.496589,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,38.0,2.0,1.0,0.0,107.852,-3.807622,-38.584295,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,leilão,2026-05-29,0.0
Apartamento,105.0,3.0,2.0,2.0,1.317.053,-3.740519,-38.525864,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,40.0,2.0,1.0,0.0,65.000,-3.81104,-38.5501,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-10,0.0
Casa de condomínio,112.0,3.0,4.0,2.0,429.000,-3.824411,-38.473364,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-09,0.0
Apartamento,62.0,3.0,3.0,2.0,450.000,-3.754177,-38.526055,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,normal,2026-06-10,0.0
Apartamento,44.0,2.0,1.0,,37.000,-3.814635,-38.520029,True,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,repasse,2026-06-10,0.0
Casa,181.0,5.0,3.0,3.0,550.000,-3.771226,-38.513019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Apartamento,80.12,3.0,3.0,3.0,915.000,-3.809183,-38.493246,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,normal,2022-11-12,0.0
Apartamento,37.0,3.0,1.0,0.0,343.425,-3.739705,-38.475194,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,69.07,2.0,2.0,2.0,940.000,-3.733994,-38.509009,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2024-03-18,0.0
Casa,160.0,4.0,1.0,1.0,150.000,-3.787469,-38.630248,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-11,0.0
Casa,150.0,3.0,3.0,2.0,419.000,-3.84919,-38.476122,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-06-09,0.0
