external_id,site,finalidade,tipo,titulo,preco,preco_m2,area_m2,quartos,banheiros,vagas,suites,andar,numero_endereco,bairro,cidade,estado,condominio,iptu,endereco,descricao,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,latitude,longitude,is_lancamento,data_coleta,url
vr_vr_dom_164938970217824,Viva Real,venda,apartamento,2 Quartos Cambeba Fortaleza Com Garagem,310000.0,5740.74,54.0,2,2,1,,,,Cambeba,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cambeba-fortaleza-com-garagem-54m2-venda-RS310000-id-2893587580/?source=ranking%2Crp
vr_vr_dom_233223382208256,Viva Real,venda,apartamento,"Apartamento para comprar com 65 - 66 m², 3 quartos, 2 banheiros, 2 vagas em",370000.0,5606.06,66.0,3,2,2,,,,,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,
vr_vr_dom_233223382208256,Viva Real,venda,apartamento,"Apartamento para comprar com 44 - 47 m², 2 quartos, 1 banheiro, 1 vaga em",65000.0,1382.98,47.0,2,1,1,,,,,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,
vr_vr_dom_233223382208256,Viva Real,venda,apartamento,"Apartamento para comprar com 60 m², 3 quartos, 1 banheiro, 1 vaga em",280000.0,4666.67,60.0,3,1,1,,,,,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,
vr_vr_dom_207807184272667,Viva Real,venda,apartamento,2 Quartos Bom Jardim Fortaleza Com Garagem,25000.0,568.18,44.0,2,1,1,,,,Bom Jardim,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bom-jardim-fortaleza-com-garagem-44m2-venda-RS25000-id-2893660483/?source=ranking%2Crp
vr_vr_dom_190780896020070,Viva Real,venda,apartamento,2 Quartos Praia Do Futuro I Fortaleza Com Garagem,368000.0,7360.0,50.0,2,2,1,,,,Praia Futuro I,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-2-quartos-praia-do-futuro-i-fortaleza-com-garagem-50m2-venda-RS368000-id-2688756326/?source=ranking%2Crp
vr_vr_dom_241839745086665,Viva Real,venda,casa,2 Quartos Siqueira Fortaleza Com Garagem,299900.0,4346.38,69.0,2,2,3,,,,Siqueira,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/casa-2-quartos-siqueira-fortaleza-com-garagem-69m2-venda-RS299900-id-2893503478/?source=ranking%2Crp
vr_vr_dom_231315739718552,Viva Real,venda,apartamento,J Smart Leite Albuquerque,641760.0,9873.23,65.0,1,1,,,,,Aldeota,Fortaleza,CE,,,,,,,,,,,,,,,,,,True,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imoveis-lancamentos/j-smart-leite-albuquerque-id-2867764486/?development_unit_id=2867764648&source=ranking%2Crp
vr_vr_dom_10581744635381,Viva Real,venda,casa,2 Quartos Siqueira Fortaleza Com Garagem,70000.0,518.52,135.0,2,2,2,,,,Siqueira,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/casa-2-quartos-siqueira-fortaleza-com-garagem-135m2-venda-RS70000-id-2893689470/?source=ranking%2Crp
vr_vr_dom_52466035565265,Viva Real,venda,apartamento,3 Quartos Aldeota Fortaleza Com Garagem,710000.0,4437.5,160.0,3,4,2,,,,Aldeota,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aldeota-fortaleza-com-garagem-160m2-venda-RS710000-id-2893345585/?source=ranking%2Crp
vr_vr_dom_52406123886615,Viva Real,venda,apartamento,3 Quartos Guararapes Fortaleza Com Garagem,650000.0,9285.71,70.0,3,3,2,,,,Guararapes,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-3-quartos-guararapes-fortaleza-com-garagem-70m2-venda-RS650000-id-2893413082/?source=ranking%2Crp
vr_vr_dom_233223382208256,Viva Real,venda,apartamento,"Apartamento para comprar com 119 - 124 m², 3 quartos, 1 banheiro, 2 vagas em",949000.0,7653.23,124.0,3,1,2,,,,,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,
vr_vr_dom_44842817856777,Viva Real,venda,apartamento,3 Quartos Vicente Pinzon Fortaleza Com Garagem,350000.0,2500.0,140.0,3,3,2,,,,Vicente Pinzón,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vicente-pinzon-fortaleza-com-garagem-140m2-venda-RS350000-id-2893703651/?source=ranking%2Crp
vr_vr_dom_194506093455405,Viva Real,venda,casa,3 Quartos Mondubim Fortaleza Com Garagem,469000.0,4690.0,100.0,3,3,2,,,,Mondubim,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/casa-3-quartos-mondubim-fortaleza-com-garagem-100m2-venda-RS469000-id-2893262698/?source=ranking%2Crp
vr_vr_dom_165301227984931,Viva Real,venda,apartamento,Myrtos Condominium,924656.0,9942.54,93.0,3,4,2,,,,Aldeota,Fortaleza,CE,,,,,,,,,,,,,,,,,,True,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imoveis-lancamentos/myrtos-condominium-id-2859863187/?development_unit_id=2859865572&source=ranking%2Crp
vr_vr_dom_233223382208256,Viva Real,venda,apartamento,"Apartamento para comprar com 51 - 55 m², 2 quartos, 2 banheiros, 1 vaga em",385000.0,7000.0,55.0,2,2,1,,,,,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,
vr_vr_dom_233223382208256,Viva Real,venda,apartamento,"Apartamento para comprar com 43 - 45 m², 2 quartos, 1 banheiro, 1 vaga em",315000.0,7000.0,45.0,2,1,1,,,,,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,
vr_vr_dom_240733981088753,Viva Real,venda,apartamento,2 Quartos Jardim Cearense Fortaleza Com Garagem,340000.0,6296.3,54.0,2,2,2,,,,Jardim Cearense,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-cearense-fortaleza-com-garagem-54m2-venda-RS340000-id-2893503781/?source=ranking%2Crp
vr_vr_dom_54795720090182,Viva Real,venda,apartamento,2 Quartos Novo Mondubim Fortaleza Com Garagem,37000.0,840.91,44.0,2,1,1,,,,Mondubim,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mondubim-fortaleza-com-garagem-44m2-venda-RS37000-id-2893678233/?source=ranking%2Crp
vr_vr_dom_261492280921579,Viva Real,venda,apartamento,1 Quartos Engenheiro Luciano Cavalcante Fortaleza Com Garagem,520000.0,11555.56,45.0,1,1,1,,,,Engenheiro Luciano Cavalcante,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-1-quartos-engenheiro-luciano-cavalcante-fortaleza-com-garagem-45m2-venda-RS520000-id-2892511480/?source=ranking%2Crp
vr_vr_dom_189061279475083,Viva Real,venda,apartamento,2 Quartos Couto Fernandes Fortaleza Com Garagem,178000.0,3955.56,45.0,2,1,1,,,,Couto Fernandes,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-2-quartos-couto-fernandes-fortaleza-com-garagem-45m2-venda-RS178000-id-2893671591/?source=ranking%2Crp
vr_vr_dom_232986398012938,Viva Real,venda,apartamento,Tango Plaza De Fatima,2188768.0,13185.35,166.0,3,3,3,,,,Fátima,Fortaleza,CE,,,,,,,,,,,,,,,,,,True,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imoveis-lancamentos/tango-plaza-de-fatima-id-2871964993/?development_unit_id=2871966576&source=ranking%2Crp
vr_vr_dom_82337185772981,Viva Real,venda,apartamento,3 Quartos Aldeota Fortaleza Com Garagem,530000.0,8412.7,63.0,3,2,2,,,,Aldeota,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aldeota-fortaleza-com-garagem-63m2-venda-RS530000-id-2893683078/?source=ranking%2Crp
vr_vr_dom_262795433551244,Viva Real,venda,apartamento,2 Quartos Aracape Fortaleza Com Garagem,235000.0,4607.84,51.0,2,2,1,,,,Aracapé,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aracape-fortaleza-com-garagem-51m2-venda-RS235000-id-2893709434/?source=ranking%2Crp
vr_vr_dom_232799853332069,Viva Real,venda,comercial,Comercial Pici Fortaleza Com Garagem,138569.0,4199.06,33.0,,1,1,,,,Pici,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/sala-comercial-pici-fortaleza-com-garagem-33m2-venda-RS138569-id-2893544476/?source=ranking%2Crp
vr_vr_dom_256951373881381,Viva Real,venda,apartamento,2 Quartos Parque Dois Irmaos Fortaleza Com Garagem,70000.0,1666.67,42.0,2,1,1,,,,Parque Dois Irmãos,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-dois-irmaos-fortaleza-com-garagem-42m2-venda-RS70000-id-2887050799/?source=ranking%2Crp
vr_vr_dom_275831568872823,Viva Real,venda,apartamento,2 Quartos Siqueira Fortaleza Com Garagem,75000.0,1704.55,44.0,2,1,1,,,,Siqueira,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-2-quartos-siqueira-fortaleza-com-garagem-44m2-venda-RS75000-id-2893633787/?source=ranking%2Crp
vr_vr_dom_165518320031385,Viva Real,venda,apartamento,3 Quartos Engenheiro Luciano Cavalcante Fortaleza Com Garagem,850000.0,10365.85,82.0,3,3,2,,,,Engenheiro Luciano Cavalcante,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imovel/apartamento-3-quartos-engenheiro-luciano-cavalcante-fortaleza-com-garagem-82m2-venda-RS850000-id-2891505182/?source=ranking%2Crp
vr_vr_dom_58456276151918,Viva Real,venda,apartamento,Bs Rubi,2334784.0,10195.56,229.0,3,4,3,,,,Cocó,Fortaleza,CE,,,,,,,,,,,,,,,,,,True,2026-06-21T02:30:43+00:00,https://www.vivareal.com.br/imoveis-lancamentos/bs-rubi-id-2883342283/?development_unit_id=2883338616&source=ranking%2Crp
olx_olx_dom_193501134149760,OLX,venda,apartamento,Vendo apartamento no Eusébio próximo ao Shopping,270.0,4.15,65,,,,,,,,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/vendo-apartamento-no-eusebio-proximo-ao-shopping-1512150879
olx_olx_dom_152657022064158,OLX,venda,outro,"OPORTUNIDADE DE REPASSE | CONDOMÍNIO PARQUE RESIDENCE  PACHECO, CAUCAIA",75000.0,1363.64,55,,,,,,,,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/oportunidade-de-repasse-condominio-parque-residence-pacheco-caucaia-1512149578
olx_olx_dom_249816842542816,OLX,aluguel,outro,Vendo ou Alugo,190000.0,4634.15,41,,,,,,,,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/vendo-ou-alugo-1512148601
olx_olx_dom_55537549720055,OLX,venda,apartamento,APARTAMENTO NO FONTANA DI GENOVA | CAMBEBA SEMI PROJETADOS,335000.0,7444.44,45,,,,,,,Cambeba,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-no-fontana-di-genova-cambeba-semi-projetados-1512148387
olx_olx_dom_234401507781938,OLX,venda,apartamento,APARTAMENTO Á VENDA FONTANA DE PAVIA | CAMBEBA : JA COM OS PROJETADOS.,95000.0,2111.11,45,,,,,,,Cambeba,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-a-venda-fontana-de-pavia-cambeba-ja-com-os-projetados-1512148386
olx_olx_dom_194276728121303,OLX,venda,apartamento,Apartamento Bairro Cajazeiras,160000.0,2807.02,57,,,,,,,Cajazeiras,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-bairro-cajazeiras-1512147590
olx_olx_dom_265309845981255,OLX,venda,apartamento,PARQUE ALDEOTA SUL  APARTAMENTO NA CIDADE DOS FUNCIONARIOS EM FORTALEZA/CE,270000.0,2647.06,102,,,,,,,Cidade dos Funcionários,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/parque-aldeota-sul-apartamento-na-cidade-dos-funcionarios-em-fortaleza-ce-1512147233
olx_olx_dom_183358369766156,OLX,venda,apartamento,"Apartamento com 3 dormitórios à venda, 104 m² por R$ 920.000,00 - Guararapes - Fortaleza/C",920000.0,8846.15,104,,,,,,,Engenheiro Luciano Cavalcante,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-104-m-por-r-920-000-00-guararapes-fortaleza-c-1505001506
olx_olx_dom_103648088292013,OLX,venda,apartamento,"Apartamento com 2 dormitórios à venda, 52 m² por R$ 295.000 - Messejana - Fortaleza/CE",295000.0,5673.08,52,,,,,,,Messejana,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-52-m-por-r-295-000-messejana-fortaleza-ce-1512146159
olx_olx_dom_125936984593571,OLX,venda,outro,REPASSE | RESERVA DA LAGOA | 58m² | 02 SUÍTES | 02 VAGAS COBERTAS | PASSARÉ,130000.0,2241.38,58,,,,,,,Passaré,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/repasse-reserva-da-lagoa-58m-02-suites-02-vagas-cobertas-passare-1512145981
olx_olx_dom_215293547313669,OLX,venda,apartamento,"Apartamento com 3 dormitórios à venda, 91 m² por R$ 860.000 - Edson Queiroz - Fortaleza/CE",860000.0,9450.55,91,,,,,,,Edson Queiroz,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-91-m-por-r-860-000-edson-queiroz-fortaleza-ce-1505911571
olx_olx_dom_224759324251048,OLX,venda,outro,Próximo a Igreja Cristo Rei,962273.0,9622.73,100,,,,,,,Centro,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/proximo-a-igreja-cristo-rei-1379738820
olx_olx_dom_274614922264677,OLX,venda,apartamento,Cobertura próximo ao RioMar (toda reformada),1495000.0,5956.18,251,,,,,,,Papicu,Fortaleza,CE,,,,,,,,,,,,,,,,,,False,2026-06-21T02:30:43+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/cobertura-proximo-ao-riomar-toda-reformada-1473286332
