listing_id,titulo,apartamento_ou_casa,tipo_imovel,estado,cidade,bairro,rua,numero,endereco,metragem,quartos,banheiros,suites,andar,estacionamentos,preco_anuncio,latitude,longitude,tem_portaria_24h,tem_vista_pro_mar,tem_condominio_fechado,tem_piscina,tem_deck,tem_varanda_gourmet,tem_varanda,tem_academia,tem_salao_festas,tem_salao_jogos,tem_quadra_campo,descricao,anuncio_criado,corretora,nota_media,url,imagem_url
1394023483,Meet Aldeota (Nunca habitado),apartamento,Venda - apartamento padrão,CE,Fortaleza,Aldeota,,,,117,3,5,,,2,1500000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T04:19:58+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/meet-aldeota-nunca-habitado-1394023483,https://img.olx.com.br/images/35/353609637519815.jpg
1512158415,Venda Apartamento Joaquim TAvora 3 quartos,apartamento,Venda - apartamento padrão,CE,Fortaleza,Joaquim Távora,,,,100,3,2,,,2,199000.0,,,0,0,0,0,0,0,0,0,0,0,0,,2026-06-21T04:15:59+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/venda-apartamento-joaquim-tavora-3-quartos-1512158415,https://img.olx.com.br/images/46/463650291975903.jpg
993964795,EDIFÍCIO COSTAMARE,apartamento,Venda - apartamento padrão,CE,Fortaleza,Mucuripe,,,,210,4,5,,,4,3200000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:49:48+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-costamare-993964795,https://img.olx.com.br/images/37/375255498203000.jpg
993964994,Edifício Icon,apartamento,Venda - apartamento padrão,CE,Fortaleza,Meireles,,,,254,4,2,,,5,3300000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:44+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-icon-993964994,https://img.olx.com.br/images/61/617690295787711.jpg
993965056,Solar Volta da Jurema,apartamento,Venda - apartamento padrão,CE,Fortaleza,Vila Velha,,,,700,5,5,,,5,9000000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:43+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/solar-volta-da-jurema-993965056,https://img.olx.com.br/images/93/938687892274536.jpg
993964568,EDIFÍCIO CATAMARÃ,apartamento,Venda - apartamento padrão,CE,Fortaleza,Meireles,,,,254,4,5,,,4,4500000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:42+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-catamara-993964568,https://img.olx.com.br/images/37/372285378223933.jpg
993964619,Edifício Jardim do Atlântico,apartamento,Venda - apartamento padrão,CE,Fortaleza,Mucuripe,,,,500,4,5,,,4,5000000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:42+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-jardim-do-atlantico-993964619,https://img.olx.com.br/images/54/548601530347179.jpg
993964647,Edifício The Park,apartamento,Venda - apartamento padrão,CE,Fortaleza,Cocó,,,,344,4,5,,,5,4000000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:42+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-the-park-993964647,https://img.olx.com.br/images/50/501624776584872.jpg
993964721,Edifício Epic,apartamento,Venda - apartamento padrão,CE,Fortaleza,Centro,,,,400,4,5,,,5,7000000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:42+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-epic-993964721,https://img.olx.com.br/images/40/401668515664935.jpg
993964845,Edificio Solar Praça Portugal,apartamento,Venda - apartamento padrão,CE,Fortaleza,Meireles,,,,400,4,5,,,5,5500000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:42+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-solar-praca-portugal-993964845,https://img.olx.com.br/images/43/437603639359319.jpg
993964876,Bossa Nova,apartamento,Venda - apartamento padrão,CE,Fortaleza,Centro,,,,401,4,5,,,5,5500000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:42+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/bossa-nova-993964876,https://img.olx.com.br/images/35/358625298694360.jpg
993964742,Edificio Renaissance,apartamento,Venda - apartamento padrão,CE,Fortaleza,Meireles,,,,3702,4,5,,,5,3600000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:41+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-renaissance-993964742,https://img.olx.com.br/images/69/692611417771151.jpg
993964774,EDIFÍCIO BRISAMAR,apartamento,Venda - apartamento padrão,CE,Fortaleza,Mucuripe,,,,370,4,5,,,4,4500000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:41+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-brisamar-993964774,https://img.olx.com.br/images/44/444670514840919.jpg
993964865,ANCORADOURO,apartamento,Venda - apartamento padrão,CE,Fortaleza,Mucuripe,,,,455,4,5,,,5,5000000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:41+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/ancoradouro-993964865,https://img.olx.com.br/images/37/373280378355814.jpg
993964938,Edifício Artiz,apartamento,Venda - apartamento padrão,CE,Fortaleza,Meireles,,,,188,4,5,,,3,2300000.0,,,0,0,0,0,0,0,1,0,0,0,0,,2026-06-21T03:48:41+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-artiz-993964938,https://img.olx.com.br/images/30/300649876759028.jpg
1373875205,"*VALOR SUJEITO A ALTERAÇÃO SEM AVISO PRÉVIO* - Apartamento com 4 dormitórios à venda, 311 ",apartamento,Venda - apartamento padrão,CE,Fortaleza,Meireles,,,,311,4,5,,,0,5380370.0,,,0,0,0,1,0,0,1,1,0,0,0,,2026-06-21T03:48:39+00:00,,,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/valor-sujeito-a-alteracao-sem-aviso-previo-apartamento-com-4-dormitorios-a-venda-311-1373875205,https://img.olx.com.br/images/36/363637299546248.jpg
