listing_id,titulo,apartamento_ou_casa,tipo_imovel,estado,cidade,bairro,rua,numero,endereco,metragem,quartos,banheiros,suites,andar,estacionamentos,preco_anuncio,latitude,longitude,tem_portaria_24h,tem_vista_pro_mar,tem_condominio_fechado,tem_piscina,tem_deck,tem_varanda_gourmet,tem_varanda,tem_academia,tem_salao_festas,tem_salao_jogos,tem_quadra_campo,descricao,anuncio_criado,corretora,nota_media,url,imagem_url
2891540087,"Apartamento para comprar com 44 - 47 m², 2 quartos, 1 banheiro, 1 vaga",apartamento,APARTMENT,CE,Fortaleza,Parque Dois Irmãos,Rua C do Loteamento Cidade Jardim - Gleba K-2,105,"Rua C do Loteamento Cidade Jardim - Gleba K-2, 105 - Parque Dois Irmãos, Fortaleza / CE",44,2,1,,4,1,65000.0,-3.81104,-38.5501,0,0,0,1,1,0,0,0,0,0,1,"⸻ 🏡 REPASSE – CONQUISTA BOSQUE | 5º ANDAR 📍 Rua C do Loteamento Cidade Jardim, Gleba K-2, 105 – Parque Dois Irmãos, Fortaleza 🔑 Valor das chaves: R$ 70.000,00 🏦 Saldo financiado: R$ 123.102,33 📅 Parcela Caixa: R$ 770,00 📆 Prazo restante: 316 meses ⚠️ Observação importante: O proprietário realizou amortização no financiamento, por isso: • De fevereiro até setembro as parcelas ficam R$ 465,00 • Após setembro retorna para a parcela normal de R$ 770,00 🏠 Detalhes do apartamento • 2 quartos • 1 banheiro • Sala de estar • Sala de jantar • Cozinha • 🚗 1 vaga de garagem fixa (100%) 🎯 Condomínio com área de lazer completa • Piscina • Playground • Deck com churrasqueira • Bicicletário • Espaço de convivência 📲 Mais informações ou agendar visita",,Nexus Transações Imobiliárias,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-dois-irmaos-fortaleza-com-garagem-47m2-venda-RS65000-id-2891540087/,https://resizedimgs.vivareal.com/img/vr-listing/2b889cc8d273e2e98a3cb56af00f674f/apartamento-com-2-quartos-a-venda-47m-no-parque-dois-irmaos-fortaleza.webp?action=fit-in&dimension=614x297
2885958434,"Apartamento para comprar com 38 m², 2 quartos, 1 banheiro",apartamento,APARTMENT,CE,Fortaleza,Messejana,Rua Padre Severiano,199,"Rua Padre Severiano, 199 - Messejana, Fortaleza / CE",38,2,1,,0,0,257280.0,-3.834685,-38.490796,0,0,0,1,0,0,1,1,1,1,1,"O Mirante Messejana (Tenda) situa-se na Rua Padre Severiano, 199, no bairro Messejana, em Fortaleza (CE). O projeto, em fase de lançamento (no âmbito do Minha Casa Minha Vida), dispõe de 536 unidades com 2 quartos (opções com ou sem varanda) e áreas a rondar os 38 m² (com 1 vaga de garagem por unidade/168 vagas no total). O condomínio oferece diversas comodidades de lazer, tais como piscina para adultos e crianças, coworking, churrasqueira, pet place, espaço fitness e salão de festas.",,Bom Negocio Atividades De Internet Ltda,,https://www.vivareal.com.br/imoveis-lancamentos/mirante-messejana-id-2885958434/,https://resizedimgs.vivareal.com/img/vr-listing/a9530db6128b3923b94b3531f36c6b8d/mirante-messejana-no-messejana-fortaleza.webp?action=fit-in&dimension=614x297
2893587580,"Apartamento para comprar com 54 m², 2 quartos, 2 banheiros, 1 vaga",apartamento,APARTMENT,CE,Fortaleza,Cambeba,Rua Amâncio Valente,1555,"Rua Amâncio Valente, 1555 - Cambeba, Fortaleza / CE",54,2,2,1,1,1,310000.0,-3.807103,-38.483842,1,0,1,1,1,0,0,1,1,0,1,"Apartamento com Móveis Planejados e Lazer de Clube no Lago Jacarey Edifício Favoritto 🏡 O Começo de uma Nova História... Tudo começou com o sonho de um casal que, ao dizer o ""sim"" mais importante de suas vidas, escolheu este apartamento para ser o palco da sua jornada. Foi aqui que os primeiros jantares foram preparados em uma cozinha totalmente planejada o verdadeiro coração deste lar. Agora, este refúgio está pronto para acolher uma nova história. Se você busca o equilíbrio entre o sossego de uma rua sem saída e a dinâmica de um bairro vibrante, você encontrou o seu lugar. 📍 Localização Privilegiada no Cambeba Morar na Rua Amâncio Valente, 1555 é ter um verdadeiro refúgio de paz. Silêncio e Segurança: Por ser uma rua sem saída, o condomínio oferece uma tranquilidade rara na cidade. Mobilidade: Acesso fácil e rápido às avenidas Washington Soares, Ministro José Américo e Oliveira Paiva. Lazer e Conveniência: A poucos passos do Lago Jacarey e do seu famoso polo gastronômico. Perto dos melhores colégios, academias, supermercados e farmácias da região Sul. 🛏️ O Imóvel: Quartos: 2 dormitórios (sendo 1 suíte aconchegante para total privacidade). Cozinha: Totalmente equipada com móveis p",,Re/Max Pax,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cambeba-fortaleza-com-garagem-54m2-venda-RS310000-id-2893587580/,https://resizedimgs.vivareal.com/img/vr-listing/a542426111f014f3c0fea226690180a3/apartamento-com-2-quartos-a-venda-54m-no-cambeba-fortaleza.webp?action=fit-in&dimension=614x297
2893660483,"Apartamento para comprar com 44 m², 2 quartos, 1 banheiro, 1 vaga",apartamento,APARTMENT,CE,Fortaleza,Bom Jardim,Rua Monsenhor Sabino Feijão,100,"Rua Monsenhor Sabino Feijão, 100 - Bom Jardim, Fortaleza / CE",44,2,1,,0,1,25000.0,-3.786436,-38.59457,1,0,1,0,0,0,0,0,0,0,0,,,Cassiano Souza & Corretores De Imoveis Ltda,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bom-jardim-fortaleza-com-garagem-44m2-venda-RS25000-id-2893660483/,https://resizedimgs.vivareal.com/img/vr-listing/c7f083392b6d76b00d2704050ba2d63c/apartamento-com-2-quartos-a-venda-44m-no-bom-jardim-fortaleza.webp?action=fit-in&dimension=614x297
2893689470,"Casa para comprar com 135 m², 2 quartos, 2 banheiros, 2 vagas",casa,HOME,CE,Fortaleza,Siqueira,Rua 25,686,"Rua 25, 686 - Siqueira, Fortaleza / CE",135,2,2,,0,2,70000.0,-3.802306,-38.625485,0,0,0,0,0,0,0,0,0,0,0,,,Nexus Transações Imobiliárias,,https://www.vivareal.com.br/imovel/casa-2-quartos-siqueira-fortaleza-com-garagem-135m2-venda-RS70000-id-2893689470/,https://resizedimgs.vivareal.com/img/vr-listing/67ccef6c23b5b7667147402eba352d46/casa-com-2-quartos-a-venda-135m-no-siqueira-fortaleza.webp?action=fit-in&dimension=614x297
2875715875,"Apartamento para comprar com 119 - 124 m², 3 quartos, 1 banheiro, 2 vagas",apartamento,APARTMENT,CE,Fortaleza,Engenheiro Luciano Cavalcante,Rua Luiza Miranda Coelho,603,"Rua Luiza Miranda Coelho, 603 - Engenheiro Luciano Cavalcante, Fortaleza / CE",119,3,1,3,,2,949000.0,-3.773419,-38.491231,0,0,0,1,1,0,1,1,1,1,1,"Apartamento com 3 quartos à venda no bairro Luciano Cavalcante, em ótima localização, a 10min do Shopping Iguatemi e a 4min do Reserva Open Mall. Próximo a serviços e conveniências. Apartamento novo com área privativa de 123,85m2, 3 suítes, lavabo, sala estar e jantar, varanda, cozinha, dependência completa de empregada e área de serviço. Piso 100% em porcelanato. 02 e 03 vagas. Condomínio com área de lazer completa: Piscina Adulto e Infantil; Deck com Churrasqueira; Salão de Festas; Paisagismo; Caramanchão; Fitness; Lan House; Home Cinema; Mini Quadra Poliesportiva; Sauna; Salão de Jogos; Kids Room; Playground.",,Magalhães Mota Imóveis CRECI 11.597J,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-engenheiro-luciano-cavalcante-fortaleza-com-garagem-124m2-venda-RS949000-id-2875715875/,https://resizedimgs.vivareal.com/img/vr-listing/fd41085c65ca28f03995ad3c30b99ab3/apartamento-com-3-quartos-a-venda-124m-no-engenheiro-luciano-cavalcante-fortaleza.webp?action=fit-in&dimension=614x297
2893262698,"Casa para comprar com 100 m², 3 quartos, 3 banheiros, 2 vagas",casa,HOME,CE,Fortaleza,Mondubim,Rua Brilhante,120,"Rua Brilhante, 120 - Mondubim, Fortaleza / CE",100,3,3,2,0,2,469000.0,-3.809867,-38.560736,0,0,0,0,1,0,1,0,0,0,0,"Casa duplex na maraponga, próximo a benjamim Brasil. 100m2 ; 3 suítes , sendo 2 suítes no primeiro andar, um suíte no térreo área de serviço 2 vagas Deck privativo Sala integrada com sala de estar quintal ótima localização",,Felippe Araújo Do Nascimento,,https://www.vivareal.com.br/imovel/casa-3-quartos-mondubim-fortaleza-com-garagem-100m2-venda-RS469000-id-2893262698/,https://resizedimgs.vivareal.com/img/vr-listing/155f032485e7009a5ce3af9b5f8f9f08/casa-com-3-quartos-a-venda-100m-no-mondubim-fortaleza.webp?action=fit-in&dimension=614x297
2893709434,"Apartamento para comprar com 51 m², 2 quartos, 2 banheiros, 1 vaga",apartamento,APARTMENT,CE,Fortaleza,Aracapé,Rua Doutor Procópio,1360,"Rua Doutor Procópio, 1360 - Aracapé, Fortaleza / CE",51,2,2,1,1,1,235000.0,-3.825976,-38.589547,1,0,1,1,0,1,1,0,1,0,1,"🏡 VENDA – CONDOMÍNIO CARMEL RESIDENCE 🏡 📍 Rua Dr. Procópio, 1360 – Apto. 103, Bloco B – Mondubim ✨ Excelente oportunidade para morar ou investir! 🔹 Detalhes do Imóvel: 💰 Valor de Venda: R$ 235.000,00 📐 Área privativa: 51,40 m² 🛏️ 02 quartos, sendo 01 suíte 🛋️ Sala de estar e jantar integradas 🍽️ Cozinha funcional 🌅 Varanda 🚗 01 vaga de garagem 🏢 1º Andar – Bloco B ✅ Imóvel desocupado, pronto para receber seu novo proprietário 🔹 Condomínio: 💵 Condomínio: R$ 636,31 🏛️ IPTU: R$ 84,72 por parcela ❌ Sem taxa extra ✅ Condomínio fechado ✅ Segurança e portaria ✅ Ambiente familiar ✅ Localização privilegiada no Mondubim ✅ Fácil acesso a serviços, comércio e transporte 📌 Apartamento ideal para quem busca conforto, praticidade e qualidade de vida em uma das regiões mais valorizadas da cidade. 📲 Agende sua visita e conheça seu novo lar! Assis Silva – Corretor de Imóveis CRECI 16117-F",,Aclara Imóveis,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aracape-fortaleza-com-garagem-51m2-venda-RS235000-id-2893709434/,https://resizedimgs.vivareal.com/img/vr-listing/5fac79131c104e8e493c81b2ce6e81f3/apartamento-com-2-quartos-a-venda-51m-no-aracape-fortaleza.webp?action=fit-in&dimension=614x297
2860165160,"Apartamento para comprar com 135 - 165 m², 3 quartos, 4 banheiros, 3 vagas",apartamento,APARTMENT,CE,Fortaleza,Aldeota,Rua Vicente Linhares,180,"Rua Vicente Linhares, 180 - Aldeota, Fortaleza / CE",135,3,4,3,0,3,1700000.0,-3.741447,-38.502823,0,0,0,1,0,0,0,1,1,1,1,"O Edifício Belle Lumière, no bairro nobre da Aldeota (Fortaleza), oferece infraestrutura completa e localização estratégica, perto de hospitais, supermercados, faculdades e restaurantes. São apenas 40 unidades exclusivas, garantindo privacidade e sofisticação. Você conta com 7 opções de plantas inteligentes, todas com dependência completa de serviço. O lugar perfeito para unir conforto, praticidade e qualidade de vida no seu dia a dia.",,Bom Negocio Atividades De Internet Ltda,,https://www.vivareal.com.br/imoveis-lancamentos/belle-lumiere-id-2860165160/,https://resizedimgs.vivareal.com/img/vr-listing/f6959fc4d1275b842efc7269350358f4/belle-lumiere-no-aldeota-fortaleza.webp?action=fit-in&dimension=614x297
2893493177,"Apartamento para comprar com 63 m², 3 quartos, 2 banheiros, 2 vagas",apartamento,APARTMENT,CE,Fortaleza,Mondubim,Rua Monte Líbano,1,"Rua Monte Líbano, 1 - Mondubim, Fortaleza / CE",63,3,2,1,2,2,250000.0,-3.820883,-38.558891,0,0,0,1,0,0,1,0,0,0,0,"OPORTUNIDADE NO BAIRRO MONDUBIM!!! Área 63M²; 03 Quartos , sendo 1 suíte; 02 Banheiros; Sala de estar e jantar integrados; 2 vagas de garagem ; Área de serviço; Móveis projetados",,Felippe Araújo Do Nascimento,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-mondubim-fortaleza-com-garagem-63m2-venda-RS250000-id-2893493177/,https://resizedimgs.vivareal.com/img/vr-listing/a76d8ed0bc15155a859281440851f531/apartamento-com-3-quartos-a-venda-63m-no-mondubim-fortaleza.webp?action=fit-in&dimension=614x297
