Bairro,Tipo,Metragem,Quartos,Banheiros,Vagas,Preco,Rua,URL,Imagem
Siqueira,Apartamento,44,2,1,1,60.000,Rua Maria Maia,https://www.vivareal.com.br/imovel/apartamento-2-quartos-siqueira-fortaleza-com-garagem-44m2-venda-RS60000-id-2891203480/?source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/5ed326b437c80d2593aad0f66b7149e3/apartamento-com-2-quartos-a-venda-44m-no-siqueira-fortaleza.webp?action=fit-in&dimension=614x297
BELLA RIO,Apartamento,31,2,1,,343.425,"Rua Riachuelo, Papicu, Fortaleza",https://www.vivareal.com.br/imoveis-lancamentos/bella-rio-id-2890954188/?development_unit_id=2890954878&source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/11d9a05f8f3e271d73dcf32e41dea19e/bella-rio-no-papicu-fortaleza.webp?action=fit-in&dimension=614x297
Centro,Prédio/Edificio inteiro,2500,,,20,9.500.000,Rua Barão do Rio Branco,https://www.vivareal.com.br/imovel/predio-comercial-centro-fortaleza-com-garagem-2500m2-venda-RS9500000-id-2682944183/?source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/8e274c9cf38f812bbfbed93592fbf70b/predio-comercial-para-venda-ou-aluguel-2500m-no-centro-fortaleza.webp?action=fit-in&dimension=614x297
Mondubim,Apartamento,63,3,2,2,460.000,Rua Mirtil Meyer,https://www.vivareal.com.br/imovel/apartamento-3-quartos-mondubim-fortaleza-com-garagem-63m2-venda-RS460000-id-2635139158/?source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/cb4b4ca4497fd662779d01c3f16c6cdf/apartamento-com-3-quartos-a-venda-63m-no-mondubim-fortaleza.webp?action=fit-in&dimension=614x297
Barroso,Apartamento,70,3,1,2,190.000,Rua Valéria,https://www.vivareal.com.br/imovel/apartamento-3-quartos-barroso-fortaleza-com-garagem-70m2-venda-RS190000-id-2891046889/?source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/392f696f44e1bda388a3b0fdda41e29c/apartamento-com-3-quartos-a-venda-70m-no-barroso-fortaleza.webp?action=fit-in&dimension=614x297
Sapiranga-Coité,Casa de condomínio,180,4,5,3,689.999,Rua Rafael Tobias,https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-sapiranga-coite-fortaleza-com-garagem-180m2-venda-RS689999-id-2891148290/?source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/d19a49d8943698833accc3907123e659/casa-de-condominio-com-4-quartos-a-venda-180m-no-sapiranga-coite-fortaleza.webp?action=fit-in&dimension=614x297
Serrinha,Apartamento,54,2,1,1,170.000,Avenida Bernardo Manuel,https://www.vivareal.com.br/imovel/apartamento-2-quartos-serrinha-fortaleza-com-garagem-54m2-venda-RS170000-id-2861978854/?source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/2e5cd7c91f594d78f3f9563836ee62bd/apartamento-com-2-quartos-a-venda-54m-no-serrinha-fortaleza.webp?action=fit-in&dimension=614x297
Mondubim,Apartamento,60,3,2,2,380.000,Rua Cristiano Otoni,https://www.vivareal.com.br/imovel/apartamento-3-quartos-mondubim-fortaleza-com-garagem-60m2-venda-RS380000-id-2891017090/?source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/6793d65d61a85f2e4ebe33e9ae83490e/apartamento-com-3-quartos-a-venda-60m-no-mondubim-fortaleza.webp?action=fit-in&dimension=614x297
VIVA VIDA SUL,Apartamento,36,2,1,1,500.000,"Rua Rangel Pestana, Sapiranga-Coité, Fortaleza",https://www.vivareal.com.br/imoveis-lancamentos/viva-vida-sul-id-2878478390/?development_unit_id=2878479977&source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/9f913659ca3f78668a1d82c74306d913/viva-vida-sul-no-sapiranga-coite-fortaleza.webp?action=fit-in&dimension=614x297
Edson Queiroz,Apartamento,81,3,3,2,660.000,Rua Governador Manoel de Castro Filho,https://www.vivareal.com.br/imovel/apartamento-3-quartos-edson-queiroz-fortaleza-com-garagem-81m2-venda-RS660000-id-2874415879/?source=ranking%2Crp,https://resizedimgs.vivareal.com/img/vr-listing/9c8ba5424b8f5fd1e8e4497e3d2187c3/apartamento-com-3-quartos-a-venda-81m-no-edson-queiroz-fortaleza.webp?action=fit-in&dimension=614x297
